ims_id,TRX_Qty,trgt_flg,cal_dt
1585036,149.61,N,2/1/2012 0:00
1585036,147.16,N,3/1/2012 0:00
1585036,181.96,N,4/1/2012 0:00
1585036,98.85,N,5/1/2012 0:00
1585036,80.16,N,6/1/2012 0:00
1585036,152.17,N,7/1/2012 0:00
1585036,0,N,9/1/2012 0:00
1585036,0,N,10/1/2012 0:00
1585036,162.09,N,11/1/2012 0:00
1585036,0,N,12/1/2012 0:00
1586984,71.84,N,5/1/2012 0:00
1586984,92.19,N,7/1/2012 0:00
1586984,92.86,N,8/1/2012 0:00
1586984,90.57,N,9/1/2012 0:00
1586984,86.5,N,10/1/2012 0:00
1586984,88.11,N,11/1/2012 0:00
1586984,85.31,N,12/1/2012 0:00
1808435,0,N,12/1/2012 0:00
1815953,157.73,Y,4/1/2012 0:00
1815953,68.66,Y,6/1/2012 0:00
1818973,35.64,N,5/1/2012 0:00
1819214,63.03,N,2/1/2012 0:00
1819214,63.05,N,12/1/2012 0:00
1819241,0,N,9/1/2012 0:00
1819241,147.07,N,10/1/2012 0:00
1819241,86.61,N,11/1/2012 0:00
1819241,87.29,N,12/1/2012 0:00
1819254,0,N,12/1/2012 0:00
1819259,0,N,9/1/2012 0:00
1819259,63.34,N,10/1/2012 0:00
1819259,190.26,N,11/1/2012 0:00
1819259,60.9,N,12/1/2012 0:00
1820163,185.79,N,12/1/2012 0:00
1825345,101.28,Y,4/1/2012 0:00
1825345,110.9,Y,6/1/2012 0:00
1825345,104.44,Y,7/1/2012 0:00
1740582,129.59,N,9/1/2012 0:00
1740582,0,N,10/1/2012 0:00
1740582,0,N,11/1/2012 0:00
1752149,201.5,N,1/1/2012 0:00
1752149,178.37,N,2/1/2012 0:00
1752149,116.92,N,3/1/2012 0:00
1752149,140.21,N,6/1/2012 0:00
1752149,0,N,9/1/2012 0:00
1752149,144.8,N,10/1/2012 0:00
1752149,0,N,11/1/2012 0:00
1752149,0,N,12/1/2012 0:00
1860009,72.08,N,5/1/2012 0:00
1860009,67.28,N,6/1/2012 0:00
1860009,77.49,N,7/1/2012 0:00
1860009,73.18,N,8/1/2012 0:00
1860009,0,N,9/1/2012 0:00
1860009,74.57,N,10/1/2012 0:00
1860009,0,N,11/1/2012 0:00
1861285,68.65,N,8/1/2012 0:00
1861285,81.27,N,9/1/2012 0:00
1861285,0,N,10/1/2012 0:00
1861285,0,N,11/1/2012 0:00
1861285,73.63,N,12/1/2012 0:00
1867826,75.93,Y,2/1/2012 0:00
1867826,76.33,Y,3/1/2012 0:00
1867826,83.27,Y,4/1/2012 0:00
1867826,73.04,Y,5/1/2012 0:00
1867826,71.32,Y,6/1/2012 0:00
1867826,70.49,Y,7/1/2012 0:00
1867826,68.27,Y,8/1/2012 0:00
1867826,67.33,Y,9/1/2012 0:00
1867826,0,Y,10/1/2012 0:00
1867826,67.35,Y,11/1/2012 0:00
1867826,69.02,Y,12/1/2012 0:00
1832580,40.45,Y,5/1/2012 0:00
1832580,36.53,Y,7/1/2012 0:00
